car type,price,mileage,gear_type,year,cynlinder,date
Toyota  Land Cruiser  VXR Twin Turbo,359000.0,29000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,359000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,359000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,349000.0,0.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Sport Super charged,269000.0,54000.0,Automatic,2018,8,2023-01-27
Toyota  Land Cruiser  VX Twin Turbo,349000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR,329000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,309000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,289000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR,299000.0,0.0,Automatic,2022,6,2023-01-27
Mercedes-Benz  C-Class  200 AMG,245000.0,0.0,Automatic,2022,4,2023-01-27
Toyota  Land Cruiser  GXR,309000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  VXR,329000.0,0.0,Automatic,2021,8,2023-01-27
Nissan  Patrol  Platinum,255000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  LX,145000.0,0.0,Manual,2023,6,2023-01-27
GMC  Sierra  Elevation,149000.0,17000.0,Automatic,2021,8,2023-01-27
Toyota  Hilux  GR Sport,139000.0,0.0,Automatic,2023,6,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged L,165000.0,117000.0,Automatic,2015,8,2023-01-27
Land Rover  Range Rover  HSE,825000.0,0.0,Automatic,2023,8,2023-01-27
Porsche  Cayenne,210000.0,54000.0,Automatic,2019,6,2023-01-27
BMW  M-Series  6 Gran Coupe,149000.0,79000.0,Automatic,2014,8,2023-01-27
Audi  A8  L,275000.0,25000.0,Automatic,2019,8,2023-01-27
Lamborghini  Gallardo  LP-550,298000.0,30000.0,Automatic,2013,8,2023-01-27
BMW  X-Series  X4,85000.0,93000.0,Automatic,2015,4,2023-01-27
Bentley  Continental,225000.0,107000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  S-Class  560 Coupe,440000.0,8000.0,Automatic,2020,8,2023-01-27
Land Rover  Defender  90 HSE,342000.0,10000.0,Automatic,2022,6,2023-01-27
Mercedes-Benz  S-Class  450,210000.0,125000.0,Automatic,2018,6,2023-01-27
Mercedes-Benz  S-Class  450,252000.0,69000.0,Automatic,2018,6,2023-01-27
Maserati  Grancabrio,163000.0,32000.0,Automatic,2012,8,2023-01-27
Mercedes-Benz  G-Class  63 AMG,899000.0,0.0,Automatic,2022,8,2023-01-27
Mercedes-Benz  C-Class  200,77000.0,124000.0,Automatic,2015,4,2023-01-27
Porsche  911  Carrera,860000.0,6000.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Sport,135000.0,104000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  S-Class  65 AMG,289000.0,65000.0,Automatic,2016,12,2023-01-27
Toyota  Land Cruiser  GXR,245000.0,22000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,335000.0,0.0,Automatic,2022,6,2023-01-27
Porsche  Macan,330000.0,0.0,Automatic,2023,4,2023-01-27
Nissan  Patrol  Safari,109000.0,28000.0,Automatic,2019,6,2023-01-27
Toyota  Land Cruiser  GX,229000.0,12000.0,Automatic,2022,6,2023-01-27
,577000.0,0.0,Automatic,2023,8,2023-01-27
,235000.0,7000.0,Automatic,2022,6,2023-01-27
,335000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,235000.0,13000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,229000.0,13000.0,Automatic,2022,6,2023-01-27
,285000.0,0.0,Automatic,2022,8,2023-01-27
,280000.0,11000.0,Automatic,2022,6,2023-01-27
,275000.0,14000.0,Automatic,2022,6,2023-01-27
,780000.0,4000.0,Automatic,2021,8,2023-01-27
,282000.0,0.0,Automatic,2022,6,2023-01-27
,135000.0,20000.0,Automatic,2021,8,2023-01-27
,365000.0,0.0,Automatic,2022,6,2023-01-27
,90000.0,154000.0,Automatic,2016,8,2023-01-27
,375000.0,22000.0,Automatic,2021,6,2023-01-27
,1999999.0,8000.0,Automatic,2021,8,2023-01-27
,120000.0,58000.0,Automatic,2015,8,2023-01-27
,242000.0,1500.0,Automatic,2023,6,2023-01-27
,179000.0,40000.0,Automatic,2020,8,2023-01-27
,479000.0,33000.0,Automatic,2021,8,2023-01-27
,230000.0,9000.0,Automatic,2022,6,2023-01-27
,505000.0,11000.0,Automatic,2021,6,2023-01-27
,289000.0,7000.0,Automatic,2022,6,2023-01-27
,610000.0,8000.0,Automatic,2022,6,2023-01-27
,270000.0,0.0,Automatic,2023,6,2023-01-27
,245000.0,0.0,Automatic,2023,6,2023-01-27
,245000.0,4000.0,Automatic,2022,6,2023-01-27
,615000.0,1800.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GX,230000.0,7000.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,298000.0,1400.0,Automatic,2022,6,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,256000.0,51000.0,Automatic,2022,6,2023-01-27
Toyota  Hilux  GR Sport,140000.0,0.0,Automatic,2023,6,2023-01-27
Chevrolet  Silverado  ZR 2,239000.0,5000.0,Automatic,2022,8,2023-01-27
Toyota  Hilux,97000.0,7500.0,Automatic,2020,4,2023-01-27
Nissan  Patrol  Platinum,255000.0,0.0,Automatic,2022,6,2023-01-27
Nissan  Patrol  Super Safari,179000.0,16000.0,Manual,2021,6,2023-01-27
Nissan  Patrol  Titanium,234000.0,0.0,Automatic,2022,6,2023-01-27
BMW  7-Series  740 Li,309000.0,18000.0,Automatic,2022,6,2023-01-27
Nissan  Patrol  SE,219000.0,0.0,Automatic,2022,6,2023-01-27
Dodge  Charger  RT,166000.0,1000.0,Automatic,2022,8,2023-01-27
Land Rover  Range Rover  Vogue SE Super charged,298000.0,72000.0,Automatic,2018,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,329000.0,0.0,Automatic,2022,6,2023-01-27
Toyota  Hilux,103000.0,5000.0,Automatic,2022,4,2023-01-27
Ford  Mustang  GT,199000.0,2000.0,Automatic,2022,8,2023-01-27
Chevrolet  Silverado  Trail Boss,189000.0,10000.0,Automatic,2022,8,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,309000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  GXR,115000.0,242000.0,Automatic,2015,8,2023-01-27
Mercedes-Benz  E-Class  200,188000.0,25000.0,Automatic,2021,4,2023-01-27
Land Rover  Range Rover  Sport Super charged,133000.0,110000.0,Automatic,2016,8,2023-01-27
Ford  Raptor  SVT,168000.0,97000.0,Automatic,2017,6,2023-01-27
BMW  X-Series  X5 M,150000.0,96000.0,Automatic,2016,8,2023-01-27
Mercedes-Benz  CLA  250,113000.0,74000.0,Automatic,2018,4,2023-01-27
